country,platform,month_latest,month_prev,seller_used_id,seller_name,final_revenue,final_revenue_prev,delta_final_revenue,growth_rate_revenue,final_quantity,final_quantity_prev,delta_final_quantity,growth_rate_quantity,abnormal_type,risk_level,computation_label_prev,computation_label_latest
PH,LAZ,2025-11,2025-10,PH.LAZ.500555744805,,11120.0,118.0,11002.0,9323.73%,56.0,1.0,55.0,5500.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500563360113,,2652.0,727.0999999999999,1924.9,264.74%,13.0,11.0,2.0,18.18%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500599152539,,4817219.89,496484.67,4320735.22,870.27%,6818.0,346.0,6472.0,1870.52%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500603760043,,7605.660000000001,407.73,7197.93,1765.37%,100.0,3.0,97.0,3233.33%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500608320764,,140966.0,9543.0,131423.0,1377.17%,1024.0,65.0,959.0,1475.38%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500649024691,,10817.0,2380.0,8437.0,354.5%,63.0,17.0,46.0,270.59%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500657152750,,36235.0,4586.4,31648.6,690.05%,377.0,39.0,338.0,866.67%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500699024699,,20542.3,4186.5199999999995,16355.779999999999,390.68%,15.0,4.0,11.0,275.0%,source-switch,medium,S2,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500724144704,,4700.0,1128.0,3572.0,316.67%,25.0,6.0,19.0,316.67%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500744144621,,196.0,28.0,168.0,600.0%,2.0,1.0,1.0,100.0%,base-effect,low,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500758576773,,1843.0,262.0,1581.0,603.44%,11.0,1.0,10.0,1000.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500794784085,,2202.0,466.0,1736.0,372.53%,13.0,5.0,8.0,160.0%,source-switch,medium,S2,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500852784754,,3306.0,320.1,2985.9,932.8%,19.0,11.0,8.0,72.73%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500861936382,,18394.0,3444.0,14950.0,434.09%,147.0,12.0,135.0,1125.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500865440694,,16895.83,5282.200000000001,11613.630000000001,219.86%,87.0,20.0,67.0,335.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500893120490,,107215.0,5320.8,101894.2,1915.02%,96.0,69.0,27.0,39.13%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500915552926,,18960.0,1738.0,17222.0,990.91%,120.0,11.0,109.0,990.91%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.500976832405,,4478.0,507.0,3971.0,783.23%,32.0,3.0,29.0,966.67%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.501062224950,,1843.0,260.0,1583.0,608.85%,27.0,4.0,23.0,575.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.501097232450,,885.04,136.16,748.88,550.0%,13.0,2.0,11.0,550.0%,source-switch,medium,S2,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.501122064901,,4400.4,1344.0,3056.3999999999996,227.41%,78.0,32.0,46.0,143.75%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.501122224701,,7427.58,302.62,7124.96,2354.42%,21.0,2.0,19.0,950.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.501196752708,,2933.75,493.73,2440.02,494.2%,21.0,1.0,20.0,2000.0%,spike-out-trend,high,S4,S4
PH,LAZ,2025-11,2025-10,PH.LAZ.501466512891,,11159.4,2804.0,8355.4,297.98%,30.0,10.0,20.0,200.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.501560224806,,774.0,250.26,523.74,209.28%,6.0,2.0,4.0,200.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.501656240429,,2319.7,489.04,1830.6599999999999,374.34%,10.0,2.0,8.0,400.0%,source-switch,medium,S2,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.501703120111,,65348.12,11469.56,53878.560000000005,469.75%,27.0,10.0,17.0,170.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.501716080700,,50370.27,13055.89,37314.38,285.8%,55.0,18.0,37.0,205.56%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.501721104287,,2808.12,850.89,1957.23,230.02%,2.0,1.0,1.0,100.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.501721184184,,79929.29,1206.34,78722.95,6525.77%,162.0,2.0,160.0,8000.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.501722576195,,14271.49,3254.95,11016.54,338.45%,13.0,5.0,8.0,160.0%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.501776768235,,22364.44,1088.07,21276.37,1955.42%,17.0,3.0,14.0,466.67%,spike-out-trend,high,S5,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.7133,,47479.0,2808.0,44671.0,1590.85%,126.0,6.0,120.0,2000.0%,source-switch,medium,S3,S5
PH,LAZ,2025-11,2025-10,PH.LAZ.7829,,7738.29,774.06,6964.23,899.7%,28.0,2.0,26.0,1300.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1012745644,,28611.0,198.0,28413.0,14350.0%,289.0,2.0,287.0,14350.0%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1023387857,,7182.0,1056.0,6126.0,580.11%,57.0,8.0,49.0,612.5%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1035149859,,8376.0,516.0,7860.0,1523.26%,43.0,3.0,40.0,1333.33%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1050055321,,9248.0,1632.0,7616.0,466.67%,68.0,12.0,56.0,466.67%,spike-out-trend,high,S5,S5
PH,SHP,2025-11,2025-10,PH.SHP.1057539553,,5335215.0,5253.0,5329962.0,101465.11%,10749.0,51.0,10698.0,20976.47%,spike-out-trend,high,S5,S5
