country,platform,category_url,month_latest,month_prev,spu_count_prev,spu_count_latest,spu_ratio_vs_prev,status
PH,LAZ,AUTOMATIC DISHWASHING DETERGENTS,2025-12,2025-11,0.0,320,-,new-in-latest
PH,LAZ,CONDOMS,2025-12,2025-11,0.0,320,-,new-in-latest
PH,LAZ,DISINFECTANT AEROSOL,2025-12,2025-11,0.0,320,-,new-in-latest
PH,LAZ,HAIR REMOVAL,2025-12,2025-11,0.0,320,-,new-in-latest
PH,LAZ,LUBRICANTS,2025-12,2025-11,0.0,320,-,new-in-latest
PH,LAZ,MILK POWDER FOR ADULTS,2025-12,2025-11,0.0,320,-,new-in-latest
PH,LAZ,MILK POWDER FOR INFANTS AND CHILDREN,2025-12,2025-11,0.0,320,-,new-in-latest
PH,LAZ,MULTI-ACTION CLEANER,2025-12,2025-11,0.0,320,-,new-in-latest
PH,LAZ,MULTI-INSECT KILLER SPRAY INSECTICIDE,2025-12,2025-11,0.0,320,-,new-in-latest
PH,LAZ,PHARYNGEAL PREPARATIONS,2025-12,2025-11,0.0,320,-,new-in-latest
PH,LAZ,READY-TO-DRINK MILK,2025-12,2025-11,0.0,320,-,new-in-latest
PH,LAZ,SEX TOYS,2025-12,2025-11,0.0,320,-,new-in-latest
PH,LAZ,TOILET BOWL CLEANER,2025-12,2025-11,0.0,320,-,new-in-latest
PH,LAZ,https://www.lazada.com.ph/shop-baby-wipes-refills/,2025-12,2025-11,311.0,392,126.05%,normal
PH,LAZ,https://www.lazada.com.ph/shop-disposable-diapers/,2025-12,2025-11,320.0,402,125.63%,normal
PH,LAZ,https://www.lazada.com.ph/shop-eye-ear-nose-throat-care/?spm=a2o4l.pdp_revamp.breadcrumb.4.6b922254FVpAhg,2025-12,2025-11,320.0,361,112.81%,normal
PH,LAZ,https://www.lazada.com.ph/shop-groceries-beverages-uht-milk-milk-powder-milk-powder/?spm=a2o4l.pdp_revamp.breadcrumb.4.4ac14f719pvuss,2025-12,2025-11,314.0,409,130.25%,normal
PH,LAZ,https://www.lazada.com.ph/shop-groceries-household-cleaning-bathroomtoilet-toiletcleaners/?spm=a2o4l.pdp_revamp.breadcrumb.4.4d877b9cPWLnLx,2025-12,2025-11,320.0,436,136.25%,normal
PH,LAZ,https://www.lazada.com.ph/shop-groceries-laundry-household-cleaning-multipurpose-cleaner/?spm=a2o4l.pdp_revamp.breadcrumb.3.4b9b7a6exN8nFb,2025-12,2025-11,324.0,440,135.8%,normal
PH,LAZ,https://www.lazada.com.ph/shop-groceries-laundry-household-dishwashing-automatic-dishwashing/?spm=a2o4l.pdp_revamp.breadcrumb.5.35e33fc9CgKENX,2025-12,2025-11,110.0,112,101.82%,normal
PH,LAZ,https://www.lazada.com.ph/shop-growth-milk-formula/?spm=a2o4l.pdp_revamp.breadcrumb.4.5b652fc9C4fwQn,2025-12,2025-11,256.0,440,171.88%,normal
PH,LAZ,https://www.lazada.com.ph/shop-hair-removal/?spm=a2o4l.pdp_revamp.breadcrumb.4.154465d5tVUpvO,2025-12,2025-11,324.0,415,128.09%,normal
PH,LAZ,https://www.lazada.com.ph/shop-healthbeauty-medicalsupplies-firstaidsupplies-antisepticsdisinfectants/?spm=a2o4l.pdp_revamp.breadcrumb.4.542a167ecy3jCf,2025-12,2025-11,320.0,338,105.62%,normal
PH,LAZ,https://www.lazada.com.ph/shop-indigestion-heartburn-medicine/?spm=a2o4l.pdp_revamp.breadcrumb.4.6ebe3f2cE1zwfA,2025-12,2025-11,120.0,170,141.67%,normal
PH,LAZ,https://www.lazada.com.ph/shop-insecticide-sprays-devices-&-coils/?spm=a2o4l.pdp_revamp.breadcrumb.3.7a667c8fHNRgRc,2025-12,2025-11,320.0,454,141.88%,normal
PH,LAZ,https://www.lazada.com.ph/shop-personal-pleasure-lubricants/?spm=a2o4l.pdp_revamp.breadcrumb.3.37bd174ePXHJsB,2025-12,2025-11,320.0,399,124.69%,normal
PH,LAZ,https://www.lazada.com.ph/shop-personal-pleasure-sensual-toys/?spm=a2o4l.pdp_revamp.breadcrumb.3.12f129d1zWV6LB,2025-12,2025-11,320.0,440,137.5%,normal
PH,LAZ,https://www.lazada.com.ph/shop-safer-sex-&-contraception-products/?spm=a2o4l.pdp_revamp.breadcrumb.3.3f5c67e0E0uQhz,2025-12,2025-11,324.0,405,125.0%,normal
PH,LAZ,https://www.lazada.com.ph/shop-sanitary-napkins/,2025-12,2025-11,320.0,397,124.06%,normal
PH,LAZ,https://www.lazada.com.ph/shop-uht-milk-ready-to-drink/?spm=a2o4l.pdp_revamp.breadcrumb.4.2b80379d3kRMGK,2025-12,2025-11,320.0,440,137.5%,normal
PH,SHP,ANTACIDS,2025-12,2025-11,0.0,349,-,new-in-latest
PH,SHP,AUTOMATIC DISHWASHING DETERGENTS,2025-12,2025-11,0.0,349,-,new-in-latest
PH,SHP,CONDOMS,2025-12,2025-11,0.0,349,-,new-in-latest
