country,platform,month_latest,month_prev,seller_used_id,seller_name,abnormal_type,computation_label_prev,computation_label_latest,has_S1_prev,has_S1_latest,has_S3_prev,has_S3_latest,historical_quantity_prev,historical_quantity_latest,historical_review_prev,historical_review_latest,final_asp_prev,final_asp_latest
PH,LAZ,2025-11,2025-10,PH.LAZ.500162223238,,source-switch,S3,S5,False,False,True,False,12524.0,12600.0,3741.0,3776.0,199.2,1039.5
PH,LAZ,2025-11,2025-10,PH.LAZ.500163078139,,source-switch,S3,S5,False,False,True,False,26116.0,26383.0,3075.0,3104.0,29.585,99.63444444444445
PH,LAZ,2025-11,2025-10,PH.LAZ.500163276004,,spike-out-trend,S5,S5,False,False,False,False,144.0,390.0,29.0,100.0,390.0,317.5
PH,LAZ,2025-11,2025-10,PH.LAZ.500163726071,,source-switch,S2,S5,False,False,False,False,91.0,1023.0,15.0,273.0,150.0,120.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500163798235,,base-effect,S2,S5,False,False,False,False,2849.0,2851.0,659.0,663.0,45.0,49.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500164425160,,spike-out-trend,S5,S5,False,False,False,False,1713.0,67686.0,307.0,5958.0,94.735,116.574
PH,LAZ,2025-11,2025-10,PH.LAZ.500165229270,,source-switch,S3,S5,False,False,True,False,5566.0,19509.0,1534.0,5029.0,179.0,136.25
PH,LAZ,2025-11,2025-10,PH.LAZ.500165430082,,spike-out-trend,S5,S5,False,False,False,False,402.0,6260.0,73.0,1893.0,100.0,103.33333333333333
PH,LAZ,2025-11,2025-10,PH.LAZ.500166672350,,source-switch,S2,S5,False,False,False,False,290.0,1243.0,90.0,311.0,89.0,170.05
PH,LAZ,2025-11,2025-10,PH.LAZ.500167200014,,spike-out-trend,S5,S5,False,False,False,False,6352.0,66031.0,860.0,12582.0,58.0,70.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500167224174,,spike-out-trend,S5,S5,False,False,False,False,57.0,2955.0,13.0,631.0,185.0,128.875
PH,LAZ,2025-11,2025-10,PH.LAZ.500168322018,,base-effect,S5,S5,False,False,False,False,653.0,29341.0,114.0,3149.0,93.0,59.2
PH,LAZ,2025-11,2025-10,PH.LAZ.500168886144,,source-switch,S3,S5,False,False,True,False,7329.0,7561.0,1273.0,1313.0,75.0,216.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500169324068,,spike-out-trend,S5,S5,False,False,False,False,14015.0,14124.0,3707.0,3744.0,249.0,719.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500169450169,,source-switch,S2,S5,False,False,True,False,2340.0,5205.0,367.0,731.0,108.96333333333332,102.33333333333333
PH,LAZ,2025-11,2025-10,PH.LAZ.500170146167,,base-effect,S5,S5,False,False,False,False,965.0,975.0,77.0,77.0,10.0,432.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500170827620,,source-switch,S3,S5,False,False,True,False,179.0,8169.0,64.0,1276.0,96.03,99.0
PH,LAZ,2025-11,2025-10,PH.LAZ.500170839745,,source-switch,S3,S5,False,False,True,False,1052.0,5846.0,318.0,1713.0,130.0,192.5
PH,LAZ,2025-11,2025-10,PH.LAZ.500171445763,,source-switch,S3,S5,False,False,True,False,1257.0,1264.0,405.0,408.0,250.0,203.33333333333334
PH,LAZ,2025-11,2025-10,PH.LAZ.500171469683,,source-switch,S3,S5,False,False,True,False,146381.0,146646.0,29369.0,29446.0,149.0,146.71428571428572
PH,LAZ,2025-11,2025-10,PH.LAZ.500171595075,,source-switch,S3,S5,False,False,True,False,109679.0,109775.0,15851.0,15881.0,284.3333333333333,298.6
PH,LAZ,2025-11,2025-10,PH.LAZ.500172027008,,base-effect,S4,S5,False,False,False,False,28.0,182.0,,7.0,71.0,104.28571428571429
