country,platform,category_url
PH,SHP,https://shopee.ph/Feminine-Care-cat.11021260.11021293.11021298
PH,SHP,https://shopee.ph/Disposable-Diaper-cat.11021766.11021769.11021771
PH,SHP,https://shopee.ph/Wipes-cat.11021766.11021769.11021777
PH,LAZ,https://www.lazada.com.ph/shop-sanitary-napkins/
PH,LAZ,https://www.lazada.com.ph/shop-disposable-diapers/
PH,LAZ,https://www.lazada.com.ph/shop-baby-wipes-refills/
VN,LAZ,https://www.lazada.vn/shop-bang-ve-sinh/?
TH,LAZ,https://www.lazada.co.th/shop-healthbeauty-personalcare-femininecare-sanitarypanties/
ID,LAZ,https://www.lazada.co.id/beli-pembalut/
MY,LAZ,https://www.lazada.com.my/shop-hb-sanitary-napkins/
SG,LAZ,https://www.lazada.sg/shop-hb-sanitary-napkins/?
PH,LAZ,https://www.lazada.com.ph/shop-indigestion-heartburn-medicine/?spm=a2o4l.pdp_revamp.breadcrumb.4.6ebe3f2cE1zwfA
PH,LAZ,https://www.lazada.com.ph/shop-groceries-laundry-household-dishwashing-automatic-dishwashing/?spm=a2o4l.pdp_revamp.breadcrumb.5.35e33fc9CgKENX
PH,LAZ,https://www.lazada.com.ph/shop-safer-sex-&-contraception-products/?spm=a2o4l.pdp_revamp.breadcrumb.3.3f5c67e0E0uQhz
PH,LAZ,https://www.lazada.com.ph/shop-healthbeauty-medicalsupplies-firstaidsupplies-antisepticsdisinfectants/?spm=a2o4l.pdp_revamp.breadcrumb.4.542a167ecy3jCf
PH,LAZ,https://www.lazada.com.ph/shop-hair-removal/?spm=a2o4l.pdp_revamp.breadcrumb.4.154465d5tVUpvO
PH,LAZ,https://www.lazada.com.ph/shop-personal-pleasure-lubricants/?spm=a2o4l.pdp_revamp.breadcrumb.3.37bd174ePXHJsB
PH,LAZ,https://www.lazada.com.ph/shop-groceries-beverages-uht-milk-milk-powder-milk-powder/?spm=a2o4l.pdp_revamp.breadcrumb.4.4ac14f719pvuss
PH,LAZ,https://www.lazada.com.ph/shop-growth-milk-formula/?spm=a2o4l.pdp_revamp.breadcrumb.4.5b652fc9C4fwQn
PH,LAZ,https://www.lazada.com.ph/shop-groceries-laundry-household-cleaning-multipurpose-cleaner/?spm=a2o4l.pdp_revamp.breadcrumb.3.4b9b7a6exN8nFb
PH,LAZ,https://www.lazada.com.ph/shop-insecticide-sprays-devices-&-coils/?spm=a2o4l.pdp_revamp.breadcrumb.3.7a667c8fHNRgRc
PH,LAZ,https://www.lazada.com.ph/shop-eye-ear-nose-throat-care/?spm=a2o4l.pdp_revamp.breadcrumb.4.6b922254FVpAhg
PH,LAZ,https://www.lazada.com.ph/shop-uht-milk-ready-to-drink/?spm=a2o4l.pdp_revamp.breadcrumb.4.2b80379d3kRMGK
PH,LAZ,https://www.lazada.com.ph/shop-personal-pleasure-sensual-toys/?spm=a2o4l.pdp_revamp.breadcrumb.3.12f129d1zWV6LB
