country,platform,seller_used_id,seller_url,seller_name
PH,LAZ,PH.LAZ.500176809145,https://www.lazada.com.ph/shop/bacardi-martini,Bacardi Martini_PH
PH,LAZ,PH.LAZ.500223480933,https://www.lazada.com.ph/shop/engkanto-brewery,Engkanto Brewery_PH
PH,LAZ,PH.LAZ.501096032339,https://www.lazada.com.ph/shop/happyhour-ph-store,Happy Hour PH_PH
PH,LAZ,PH.LAZ.500163042045,https://www.lazada.com.ph/shop/diageo,Diageo_PH
PH,LAZ,PH.LAZ.1000299575,https://www.lazada.com.ph/shop/destileria-barako,DESTILERIA BARAKO_PH
PH,LAZ,PH.LAZ.500169069038,https://www.lazada.com.ph/shop/tanduay-rhum-ph,Tanduay Rhum PH_PH
PH,LAZ,PH.LAZ.500165160217,https://www.lazada.com.ph/shop/global-grand-fortune-inc,Global Grand Fortune Inc._PH
PH,LAZ,PH.LAZ.500273076947,https://www.lazada.com.ph/shop/bottle-run,Bottle Run_PH
PH,LAZ,PH.LAZ.1000382543,https://www.lazada.com.ph/shop/coca-cola-flagship-store,COCA-COLA Flagship Store_PH
PH,LAZ,PH.LAZ.500171130277,https://www.lazada.com.ph/shop/alfonso-brandy,Alfonso Brandy_PH
PH,LAZ,PH.LAZ.500741360617,https://www.lazada.com.ph/shop/cellar-fresh-liquor-deli,Cellar Fresh Liquor & Deli_PH
PH,LAZ,PH.LAZ.500214855607,https://www.lazada.com.ph/shop/crazy-carabao-brewing-co,Crazy Carabao Brewing Co._PH
PH,LAZ,PH.LAZ.501568880378,https://www.lazada.com.ph/shop/shopwise,Shopwise_PH
PH,LAZ,PH.LAZ.500166000429,https://www.lazada.com.ph/shop/jinro,Jinro_PH
PH,LAZ,PH.LAZ.500258646251,https://www.lazada.com.ph/shop/sukigrocerphl,SukiGrocerPHL_PH
VN,LAZ,VN.LAZ.100000105,https://www.lazada.vn/shop/hapaku-dai-chuom-thao-duoc,Hapaku - Đai chườm thảo dược_VN
VN,LAZ,VN.LAZ.4094,https://www.lazada.vn/shop/abcare-store,Abcare Store_VN
VN,LAZ,VN.LAZ.6231,https://www.lazada.vn/shop/the-body-shop,The Body Shop_VN
VN,LAZ,VN.LAZ.200165685756,https://www.lazada.vn/shop/hkh-store,HKH Store_VN
VN,LAZ,VN.LAZ.200784704375,https://www.lazada.vn/shop/nutricare-canamart-vn,Nutricare Canamart VN_VN
VN,LAZ,VN.LAZ.200159070547,https://www.lazada.vn/shop/yuwell-ha-noi-thiet-bi-y-te-gia-dinh,Yuwell Hà Nội - Thiết bị y tế gia đình_VN
VN,LAZ,VN.LAZ.200171601429,https://www.lazada.vn/shop/nikita-viet-nam,NIKITA VIET NAM_VN
VN,LAZ,VN.LAZ.200182485478,https://www.lazada.vn/shop/jesse-official,JESSE-Official_VN
VN,LAZ,VN.LAZ.100057739,https://www.lazada.vn/shop/vietmat-vn,Vietmat.vn_VN
VN,LAZ,VN.LAZ.200161281228,https://www.lazada.vn/shop/kachi-flagship-store,KACHI Flagship Store_VN
VN,LAZ,VN.LAZ.200161203357,https://www.lazada.vn/shop/fobelife-pharma,Dược Phẩm FOBELIFE_VN
